user_id,session_id,question_id,response_correctness,response_time,session_score,engagement_duration
U01,S19,Q01,1,9.174,46,294
U01,S19,Q02,1,6.338,70,160
U01,S19,Q03,0,5.909,68,279
U01,S19,Q04,0,5.383,50,179
U01,S19,Q05,1,1.519,17,253
U01,S19,Q06,0,7.911,75,210
U01,S19,Q07,0,2.429,90,233
U01,S19,Q08,0,2.804,49,185
U01,S19,Q09,0,9.963,8,135
U01,S08,Q01,1,3.714,39,282
U01,S08,Q02,0,2.08,90,233
U01,S08,Q03,1,3.534,57,299
U01,S08,Q04,0,4.816,95,192
U01,S08,Q05,0,4.421,0,218
U01,S08,Q06,1,3.786,4,166
U01,S08,Q07,1,7.587,77,225
U01,S08,Q08,0,1.76,15,114
U01,S08,Q09,1,9.644,6,168
U01,S14,Q01,0,1.732,16,116
U01,S14,Q02,0,7.973,6,300
U01,S14,Q03,1,5.566,10,270
U01,S14,Q04,1,9.759,84,205
U01,S05,Q01,1,9.779,65,263
U01,S05,Q02,0,4.488,70,277
U01,S05,Q03,0,4.37,71,263
U01,S05,Q04,1,4.473,10,280
U01,S05,Q05,0,8.328,13,247
U01,S05,Q06,1,8.969,67,111
U01,S05,Q07,1,9.517,76,276
U01,S05,Q08,1,6.16,68,287
U01,S06,Q01,0,8.276,67,300
U01,S06,Q02,1,7.308,46,174
U01,S06,Q03,1,4.609,85,141
U01,S06,Q04,0,4.578,13,136
U01,S06,Q05,0,6.398,42,300
U01,S06,Q06,1,5.783,96,294
U01,S06,Q07,0,9.828,25,227
U01,S06,Q08,0,4.684,93,267
U01,S06,Q09,0,2.564,29,257
U01,S10,Q01,1,1.977,34,227
U01,S10,Q02,1,4.227,8,299
U01,S10,Q03,1,5.805,79,294
U01,S10,Q04,0,5.404,39,195
U01,S13,Q01,0,5.275,3,130
U01,S13,Q02,1,9.967,59,108
U01,S13,Q03,1,6.074,36,202
U01,S13,Q04,1,9.241,43,241
U01,S13,Q05,0,4.264,26,165
U01,S13,Q06,1,3.214,50,268
U01,S13,Q07,0,6.547,61,276
U01,S13,Q08,1,2.194,60,184
U01,S01,Q01,1,3.134,26,113
U01,S01,Q02,1,7.991,39,288
U01,S01,Q03,0,1.39,33,275
U01,S01,Q04,1,1.022,89,199
U01,S01,Q05,1,5.637,90,173
U01,S01,Q06,1,3.578,88,114
U01,S15,Q01,1,9.376,64,229
U01,S15,Q02,0,7.466,57,161
U01,S09,Q01,0,7.113,88,230
U01,S09,Q02,1,4.099,82,230
U01,S09,Q03,0,7.432,34,112
U01,S09,Q04,0,7.786,65,212
U01,S09,Q05,0,1.93,82,145
U01,S09,Q06,0,2.701,61,238
U01,S09,Q07,0,2.766,35,150
U01,S09,Q08,1,8.717,53,202
U01,S16,Q01,0,4.614,22,199
U01,S16,Q02,0,3.488,17,105
U01,S16,Q03,1,6.45,89,188
U01,S16,Q04,0,8.701,12,253
U01,S17,Q01,1,2.067,26,209
U01,S17,Q02,1,2.652,98,172
U01,S17,Q03,0,7.976,35,286
U01,S17,Q04,0,7.498,55,299
U01,S17,Q05,0,5.72,54,123
U01,S17,Q06,0,5.903,45,266
U01,S17,Q07,1,3.678,83,130
U01,S17,Q08,1,9.772,35,230
U01,S17,Q09,0,7.457,93,134
U01,S17,Q10,1,4.52,91,256
U01,S04,Q01,0,8.299,48,253
U01,S04,Q02,1,6.109,69,243
U01,S04,Q03,0,4.391,54,153
U01,S20,Q01,0,1.259,59,136
U01,S20,Q02,0,1.185,62,137
U01,S03,Q01,0,7.809,62,198
U01,S03,Q02,1,2.754,31,197
U01,S03,Q03,0,1.927,42,293
U01,S03,Q04,0,3.494,76,151
U01,S03,Q05,1,4.59,73,282
U01,S03,Q06,0,9.297,75,217
U01,S03,Q07,1,9.109,50,275
U01,S03,Q08,0,1.643,100,209
U01,S03,Q09,0,4.246,96,293
U01,S02,Q01,1,1.12,23,240
U01,S02,Q02,0,7.335,1,284
U01,S02,Q03,0,2.592,52,112
U01,S02,Q04,1,3.005,46,103
U01,S02,Q05,1,1.761,27,246
U01,S02,Q06,0,5.821,42,132
U02,S04,Q01,0,4.213,81,200
U02,S04,Q02,0,9.867,37,123
U02,S04,Q03,1,2.251,26,224
U02,S04,Q04,0,9.893,49,253
U02,S04,Q05,1,4.452,64,127
U02,S04,Q06,1,5.395,62,236
U02,S04,Q07,0,5.356,74,241
U02,S04,Q08,0,4.438,91,236
U02,S19,Q01,1,9.967,37,183
U02,S19,Q02,0,2.794,98,155
U02,S01,Q01,1,4.666,0,240
U02,S10,Q01,0,4.233,1,144
U02,S10,Q02,1,8.975,22,174
U02,S18,Q01,0,2.778,93,174
U02,S18,Q02,1,5.593,93,172
U02,S18,Q03,0,2.227,70,178
U02,S18,Q04,1,8.034,2,298
U02,S18,Q05,1,3.716,40,260
U02,S18,Q06,1,5.765,98,296
U02,S18,Q07,1,7.089,37,287
U02,S18,Q08,1,8.654,69,231
U02,S18,Q09,1,7.045,42,294
U02,S16,Q01,1,2.73,94,124
U02,S16,Q02,1,5.061,100,289
U02,S05,Q01,0,3.545,59,154
U02,S05,Q02,1,7.984,100,161
U02,S15,Q01,0,1.891,88,102
U02,S15,Q02,1,6.303,65,260
U02,S15,Q03,0,7.05,90,120
U02,S15,Q04,1,8.116,81,266
U02,S15,Q05,0,6.988,45,112
U02,S15,Q06,1,4.429,20,187
U02,S15,Q07,1,1.389,83,102
U02,S15,Q08,0,7.337,51,245
U02,S15,Q09,0,1.352,59,206
U03,S07,Q01,1,3.889,44,255
U03,S07,Q02,0,3.546,77,171
U03,S14,Q01,0,3.823,71,106
U03,S14,Q02,0,4.712,1,127
U03,S14,Q03,1,9.314,94,176
U03,S14,Q04,0,8.878,44,287
U03,S14,Q05,1,1.176,10,121
U03,S14,Q06,1,4.905,52,197
U03,S14,Q07,1,3.304,34,284
U03,S14,Q08,1,3.776,93,124
U03,S14,Q09,0,2.553,39,109
U03,S19,Q01,0,1.703,42,131
U03,S19,Q02,1,3.236,83,194
U03,S09,Q01,1,6.239,32,156
U03,S09,Q02,1,6.925,23,143
U03,S09,Q03,0,3.477,8,182
U03,S09,Q04,0,5.229,78,159
U03,S09,Q05,0,2.026,67,252
U03,S09,Q06,1,9.581,77,233
U04,S20,Q01,0,6.923,6,110
U04,S20,Q02,1,9.043,13,100
