user_id,session_id,question_id,response_correctness,response_time,session_score,engagement_duration
U19,S29,Q5,1,4.375200545218364,9,218
U13,S15,Q4,0,4.222170657076255,57,477
U07,S22,Q5,0,6.880895994181981,27,133
U12,S27,Q7,1,6.871112521364246,99,165
U17,S26,Q3,1,3.043297521996365,19,124
U16,S18,Q3,1,1.4078616758326228,83,193
U14,S12,Q2,1,4.7282311415063765,0,460
U17,S10,Q1,1,4.82421167189126,59,455
U15,S6,Q4,0,8.956939839603116,76,497
U15,S14,Q4,1,3.334784907903983,19,335
U09,S22,Q2,1,3.9610670524749523,20,375
U07,S6,Q8,1,5.338993619743662,98,221
U02,S24,Q4,0,2.814565503595052,54,130
U11,S17,Q8,0,4.285779922226378,73,286
U07,S22,Q7,1,4.879207154234084,49,287
U15,S4,Q4,1,6.23517867884269,45,227
U01,S8,Q3,0,1.600166862835517,4,477
U16,S1,Q6,1,9.768877443502832,47,231
U07,S22,Q4,0,6.002717783324057,96,301
U07,S8,Q6,1,1.1886624213731798,30,373
U16,S8,Q1,0,5.641646022617983,47,127
U10,S16,Q9,0,3.1252571112601357,45,251
U04,S5,Q1,0,4.8694055505139495,5,239
U09,S8,Q1,0,6.986400452506404,78,159
U09,S16,Q8,1,3.8227414226323715,25,165
U14,S5,Q8,0,0.3697471934132057,83,165
U14,S22,Q5,0,1.5919711124018097,55,290
U01,S7,Q9,1,8.540723913589304,17,418
U16,S27,Q5,1,2.938092591522938,69,410
U01,S16,Q6,1,7.679563955571854,27,257
U07,S6,Q2,0,7.455785268971679,77,342
U15,S4,Q7,0,3.5027828032341697,35,407
U09,S18,Q7,0,3.8693986701024157,96,168
U14,S11,Q9,0,2.1610500812107047,13,388
U11,S27,Q9,1,2.8029666094920365,97,231
U01,S18,Q1,1,4.780650069235389,7,135
U02,S25,Q7,0,5.115115066416397,62,275
U13,S26,Q4,1,4.547134690506161,73,379
U17,S13,Q9,0,4.520819632208277,57,266
U06,S7,Q8,1,6.959617525308649,99,191
U19,S4,Q4,1,5.433440649943475,51,133
U14,S4,Q6,0,6.024660181375482,29,174
U12,S19,Q1,0,7.7071915405634766,88,436
U11,S26,Q9,0,4.179591355432239,75,462
U04,S10,Q2,1,5.231840062859911,75,195
U03,S14,Q2,1,5.035515817678375,20,292
U04,S6,Q7,0,5.245755111013109,12,438
U19,S28,Q7,1,3.090849798758735,78,332
U14,S15,Q7,1,8.72532214604746,55,199
U08,S9,Q9,1,8.133222333790252,86,310
U05,S7,Q8,1,4.653974102150548,34,312
U09,S4,Q4,1,8.664270486720838,38,158
U18,S27,Q7,1,4.546783567933335,88,338
U10,S22,Q1,0,-2.0785939865457825,78,283
U05,S18,Q6,0,4.202310709822988,82,253
U02,S17,Q1,1,6.747212661515884,95,357
U10,S14,Q9,1,6.781723328050323,32,442
U06,S18,Q4,1,3.209227697739899,97,326
U12,S9,Q2,0,4.308405670985869,81,205
U18,S14,Q6,1,3.159521003886594,90,216
U08,S26,Q1,1,1.9729040338916084,31,160
U18,S1,Q9,0,1.802475540046887,2,198
U03,S20,Q4,0,7.325652079658679,25,206
U12,S16,Q5,1,1.6283310943302247,13,137
U03,S13,Q7,1,3.399214007557555,70,233
U08,S15,Q8,1,4.292235429911789,94,170
U18,S9,Q8,1,5.71083967183176,48,211
U15,S28,Q6,0,4.862503387793163,11,131
U01,S21,Q4,0,2.86813043697737,80,107
U06,S8,Q2,1,2.6039218340063375,20,125
U14,S2,Q8,0,5.247465664870253,23,255
U15,S28,Q7,1,2.1164385479788055,72,206
U06,S1,Q9,1,6.185345594268551,52,242
U14,S29,Q8,0,8.998800413633639,50,337
U17,S3,Q4,1,5.329065363526319,70,315
U12,S25,Q2,1,6.978688764229553,26,449
U03,S27,Q3,0,3.731814501834502,94,357
U15,S21,Q3,1,4.120635839476465,28,494
U06,S21,Q9,1,7.095792889746716,82,457
U11,S14,Q2,1,6.732779906357795,54,156
U08,S8,Q6,1,3.72768005049722,26,268
U16,S18,Q6,1,3.6208840394355066,75,201
U11,S27,Q5,0,4.215952986872443,42,302
U04,S15,Q7,0,4.106465402576261,29,383
U16,S11,Q8,1,5.473128819081397,82,132
U05,S22,Q8,0,9.051512570088143,25,432
U17,S24,Q2,0,7.834635615059719,51,155
U02,S13,Q9,0,4.203534742954246,18,193
U17,S4,Q1,0,3.545188037168389,87,119
U13,S26,Q4,1,4.129746824343994,34,188
U04,S15,Q9,1,2.1399360404252206,75,477
U11,S1,Q2,1,4.338821746645222,78,257
U05,S15,Q8,1,5.029787410157862,95,303
U11,S24,Q6,0,6.922627616954025,86,326
U07,S4,Q3,0,3.2542020182269606,38,231
U08,S3,Q4,0,8.105456203110375,18,191
U16,S16,Q7,0,5.409010888141411,93,288
U16,S5,Q9,0,4.457905895632382,93,113
U10,S5,Q3,1,2.108935752083225,57,122
U02,S4,Q6,0,4.714472140474788,1,363
U19,S1,Q3,1,5.300043999135209,28,347
U15,S5,Q7,0,3.4465176731235,96,499
U02,S17,Q8,0,8.388274291975938,51,272
U04,S1,Q2,1,5.259041252024882,95,337
U03,S1,Q8,0,5.688078442970802,82,471
U08,S28,Q7,0,5.685215665171776,34,142
U05,S23,Q8,0,7.836456532265455,6,421
U03,S14,Q3,0,8.162974051298193,44,170
U13,S28,Q4,1,4.043027299940765,91,211
U07,S25,Q5,0,4.483167980350095,61,358
